date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification
2024-01-07,-835.681235,-8.615270463917525,1048850.051251,97,8310.796709999995,71,Greed
2024-01-08,-269.874439,-2.1083940546875,1522452.47911,128,-6817.796710000002,71,Greed
2024-01-09,-826.349863,-11.804998042857143,870051.9215299999,70,-1472.0887599999987,76,Extreme Greed
2024-01-10,-1517.091342,-7.860576901554404,2057479.485642,193,-20.91124000000127,73,Greed
2024-01-11,-164.08950099999998,-7.813785761904761,305314.08634,21,1.0,76,Extreme Greed
2024-01-12,-1925.519024,-275.0741462857143,200082.27383999998,7,1538.0,71,Greed
2024-01-15,152.85358,10.918112857142857,50636.080449999994,14,0.9293199999999999,52,Neutral
2024-01-16,-2299.171458,-255.4634953333333,116427.3314,9,-472.1806200000001,64,Greed
2024-01-17,813.2741110000001,15.344794547169812,800831.0522700001,53,-2.2737367544323206e-13,60,Greed
2024-01-18,68.93319,1.4985476086956522,424631.50679,46,10.102399999999996,63,Greed
2024-01-19,-385.419235,-8.029567395833334,428428.961,48,1656.8975999999998,51,Neutral
2024-01-20,-146.57487000000003,-1.3827817924528305,1070090.53039,106,-10948.640000000014,52,Neutral
2024-01-21,266.58114600000005,24.234649636363642,103129.73894400001,11,-44166.16753,56,Greed
2024-01-22,1375.640959,16.18401128235294,337878.99275000003,85,11631.96587,55,Greed
2024-01-23,-369.2447299999998,-8.20543844444444,414518.917112,45,79406.84967000001,50,Neutral
2024-01-24,-2808.353815,-41.29932080882353,965084.596676,68,46412.821990000004,48,Neutral
2024-01-25,-3093.6293849999997,-515.6048975,66566.13906,6,-756.8299999999999,52,Neutral
2024-01-26,90.2,18.04,11773.211116,5,55267.0,49,Neutral
2024-01-28,-2478.06972,-225.27906545454545,18109.007999999998,11,-1068.0,54,Neutral
2024-01-29,486.562542,6.5751694864864865,414208.23184799997,74,-1276.4450000000215,55,Greed
2024-01-30,-173.65419100000003,-3.5439630816326537,401011.34982,49,7.105427357601002e-15,61,Greed
2024-01-31,-799.840817,-0.93113017112922,6305647.3764390005,859,40885.99895000002,60,Greed
2024-02-01,0.0,0.0,2008.1847710000002,6,44986.0,63,Greed
2024-02-02,456.423473,10.867225547619048,474278.433764,42,-42016.99999999999,63,Greed
2024-02-03,223.30918699999998,3.9876640535714283,603819.98881,56,9564.990109999999,60,Greed
2024-02-04,47.62389499999999,1.360682714285714,203187.53669,35,20818.40989,60,Greed
2024-02-05,-33.45419400000003,-0.4646415833333337,770198.24871,72,3.637978807091713e-12,60,Greed
2024-02-06,-215.615907,-0.19817638511029412,8047153.469136,1088,5619943.000360005,64,Greed
2024-02-07,241.24212,16.082808,6758.70464,15,11788.5,62,Greed
2024-02-08,770.756024,77.07560240000001,26051.1241,10,-5608949.699999999,66,Greed
2024-02-11,983.443176,28.924799294117648,212311.821349,34,25512.813449999994,71,Greed
2024-02-12,913.8817869999998,57.11761168749999,227247.68179,16,-37.81380999999999,70,Greed
2024-02-13,559.44389,39.960277857142856,1999.9932,14,-33158.0,79,Extreme Greed
2024-02-14,3830.599833,34.509908405405405,320839.927319,111,-46060.928089999994,74,Greed
2024-02-15,1840.797677,29.219010746031746,185188.107677,63,-22644.57191,72,Greed
2024-02-16,5491.768834,30.174554032967034,564896.535928,182,17258.022450000048,72,Greed
2024-02-17,1929.6418,20.52810425531915,406118.06327,94,18772.57755,76,Extreme Greed
2024-02-18,477.6248299999999,4.923967319587628,157048.21183000001,97,0.0,72,Greed
2024-02-19,4317.768563,42.750183792079206,286377.1492,101,2.9103830456733704e-11,75,Extreme Greed
2024-02-20,3263.628824,83.68279035897436,119419.723704,39,-35646.0,72,Greed
2024-02-21,1858.7985700000002,84.49084409090909,108047.53806,22,9999.600000000006,78,Extreme Greed
2024-02-22,3894.1050699999996,44.25119397727272,373033.916586,88,5421.400000000009,74,Greed
2024-02-23,1418.55293,9.91995055944056,111106.02652999999,143,3.637978807091713e-12,76,Extreme Greed
2024-02-25,-30.7705,-6.1541,4480.1295,5,0.0,74,Greed
2024-02-26,4416.8473,113.25249487179488,192187.18292999998,39,-7418.0,72,Greed
2024-02-27,888.511733,14.103360841269842,209362.29179000002,63,-34708.19999999999,79,Extreme Greed
2024-02-28,2503.747235,55.63882744444444,171107.101114,45,0.0,82,Extreme Greed
2024-02-29,9813.996992,84.60342234482759,395666.685727,116,-2740609.0,80,Extreme Greed
2024-03-01,8244.241409,60.176944591240876,472974.663145,137,0.0,80,Extreme Greed
2024-03-02,230.90060000000005,7.448406451612905,63197.542455,31,20751.0,80,Extreme Greed
2024-03-03,8361.086245,105.83653474683545,390745.677042,79,0.0,83,Extreme Greed
2024-03-04,27799.775742,92.66591914,1577996.746285,300,186833.3999999985,82,Extreme Greed
2024-03-05,19791.026041,109.95014467222222,841810.2949559999,180,-205063.0,90,Extreme Greed
2024-03-06,6814.825139,83.10762364634145,327217.990646,82,0.0,75,Extreme Greed
2024-03-08,4271.886236,63.7594960597015,183583.229574,67,201.00000000023283,81,Extreme Greed
2024-03-09,9949.501624,85.03847541880343,658178.765539,117,0.0,84,Extreme Greed
2024-03-10,2482.9272,59.117314285714286,219973.8624,42,0.0,79,Extreme Greed
2024-03-11,3588.179495,85.43284511904761,176519.42601,42,-1.4551915228366852e-11,82,Extreme Greed
2024-03-12,3039.166,379.89575,103040.842,8,0.0,81,Extreme Greed
2024-03-13,0.0,0.0,6000.8022599999995,7,1.5126,81,Extreme Greed
2024-03-14,3465.865832,192.5481017777778,205933.17923,18,-1.5126000000163913,88,Extreme Greed
2024-03-15,6236.513651,100.58892985483871,351894.414518,62,-1126427.346500001,83,Extreme Greed
2024-03-16,228.57984,28.57248,37223.66167,8,-1112342.8828,81,Extreme Greed
2024-03-17,503.293955,21.882345869565217,99506.94409,23,422.0293,79,Extreme Greed
2024-03-18,1456.9577,76.68198421052631,90458.06317,19,-357.07670000000144,77,Extreme Greed
2024-03-19,668.797973,27.86658220833333,219884.87557,24,984.0849000000162,79,Extreme Greed
2024-03-20,6423.134599,93.08890723188406,215705.92522,69,-1042.5,74,Greed
2024-03-21,2335.5080749999997,83.41100267857142,117895.56306,28,2.818599999998696,78,Extreme Greed
2024-03-24,1297.018477,68.26413036842105,92592.22297,19,9.094947017729282e-13,74,Greed
2024-03-25,1302.916428,186.13091828571427,57116.32732,7,-15.9576,75,Extreme Greed
2024-03-26,3215.906593,27.253445703389833,198565.2084,118,5.0134000000034575,81,Extreme Greed
2024-03-27,150.41114,3.9581878947368416,99864.78379,38,4.3115999999999985,83,Extreme Greed
2024-03-28,227.85100799999998,17.527000615384615,35323.735136,13,5.744600000005448,80,Extreme Greed
2024-03-29,883.097404,58.873160266666666,86914.38673,15,-5.7173,79,Extreme Greed
2024-03-30,1100.57514,24.45722533333333,101103.90474,45,0.0,75,Extreme Greed
2024-03-31,912.786145,70.21431884615384,39912.93963000001,13,-11.0024,75,Extreme Greed
2024-04-01,2507.963406,32.57095332467532,339470.500845,77,33.435799999162555,79,Extreme Greed
2024-04-02,883.760812,21.555141756097562,239664.47561000002,41,5842.5627,79,Extreme Greed
2024-04-03,126.7884,31.6971,16887.5616,4,834.0,71,Greed
2024-04-04,0.0,0.0,95987.71009,32,-28.2843,70,Greed
2024-04-05,10706.484306,107.06484306,503791.831726,100,-6673.762700000007,79,Extreme Greed
2024-04-06,236.33513399999998,14.770945874999999,68223.66744,16,-20.480800000000002,75,Extreme Greed
2024-04-07,0.0,0.0,49988.1611,23,-14.7128,78,Extreme Greed
2024-04-08,1218.4267,40.614223333333335,211940.64508,30,-46.04899999999998,76,Extreme Greed
2024-04-09,0.0,0.0,57063.83727,3,-16.2979,80,Extreme Greed
2024-04-10,5207.443414,127.01081497560976,351735.94638,41,95.4881,78,Extreme Greed
2024-04-11,389.743164,24.35894775,76400.96631999999,16,7.896900000000004,76,Extreme Greed
2024-04-12,-592.6458390000001,-4.594153790697676,442088.595023,129,4845360.4583,79,Extreme Greed
2024-04-13,6621.451755,74.3983343258427,486411.283626,89,48.20100000035018,72,Greed
2024-04-14,-36104.012520000004,-337.4206777570094,659162.167688,107,-27.60980000001291,72,Greed
2024-04-15,3774.08872,92.05094439024391,291111.17707,41,15.909799999993993,74,Greed
2024-04-16,2467.702221,52.504302574468085,181907.20026,47,-24009.0,65,Greed
2024-04-17,2441.4683999999997,174.39059999999998,97562.9796,14,0.0,67,Greed
2024-04-19,1946.4454620000001,55.61272748571429,337257.91968,35,-98.06370000000001,66,Greed
2024-04-20,0.0,0.0,60733.23488,22,363817.1721,66,Greed
2024-04-22,0.0,0.0,47993.62418,9,-14.9861,73,Greed
2024-04-23,1119.536196,16.962669636363636,233054.85759,66,30.175300000002608,71,Greed
2024-04-24,279.185907,13.95929535,141275.21555,20,14.1253,72,Greed
2024-04-25,0.0,0.0,120240.99586000001,74,388643.183,72,Greed
2024-04-26,0.0,0.0,4988.28521,3,-41052.0,70,Greed
2024-04-27,4281.488139,158.57363477777778,154264.46749,27,-47.3826,67,Greed
2024-04-28,0.0,0.0,43985.63142,58,-137073.191,65,Greed
2024-04-29,526.9338359999999,11.709640799999999,108699.00198,45,-32579.8001,67,Greed
2024-04-30,0.0,0.0,125018.74591,24,41.3869,67,Greed
2024-05-01,0.0,0.0,87025.4638,14,29.825,54,Neutral
2024-05-03,5306.017045,147.3893623611111,282682.63886,36,-42289.4724,48,Neutral
2024-05-04,0.0,0.0,58998.751001000004,9,-579928.2829,67,Greed
2024-05-05,0.916,0.15266666666666667,24068.344540000002,6,-7.6288,69,Greed
2024-05-06,968.59038,107.62115333333333,206016.42648,9,49.2126,71,Greed
2024-05-07,883.537693,49.08542738888889,108717.587358,18,539978.3600000001,68,Greed
2024-05-08,1.56576,0.12044307692307693,65973.57249,13,27.883499999999998,64,Greed
2024-05-09,1147.595856,40.985566285714285,221966.12848999997,28,-34635.7596,55,Greed
2024-05-10,2101.741695,95.53371340909092,156881.99536,22,31.610900000000004,66,Greed
2024-05-11,251.604742,27.956082444444444,63248.936779999996,9,-21.641799999999996,53,Neutral
2024-05-12,0.0,0.0,55179.539282,23,-33253.5794,56,Greed
2024-05-13,2136.853859,76.31620925,193118.89158999998,28,-31363.593500000003,57,Greed
2024-05-14,1150.5233050000002,50.02275239130436,145853.40901,23,50.105100000000014,66,Greed
2024-05-15,948.970582,26.360293944444447,234922.58374,36,-38.9884,64,Greed
2024-05-16,214.5898,7.94777037037037,162620.95312999998,27,-26409.6747,70,Greed
2024-05-18,3522.3946610000003,140.89578644000002,126303.14745,25,-21.2391,73,Greed
2024-05-19,0.0,0.0,29998.084300000002,8,9.7416,72,Greed
2024-05-20,-74.818442,-7.4818442,38124.759653,10,-619.2982999999999,70,Greed
2024-05-21,7289.397571999999,58.31518057599999,1100948.58418,125,-16967.582899999998,76,Extreme Greed
2024-05-22,0.0,0.0,44995.28661,6,-12.0525,76,Extreme Greed
2024-05-23,413.347329,1.2718379353846154,401850.593567,325,355520.28579999995,76,Extreme Greed
2024-05-24,821.949278,410.974639,50811.902200000004,2,-13.2158,74,Greed
2024-05-25,14.126038999999999,0.8828774374999999,29991.122934000003,16,6.661999999999352,76,Extreme Greed
2024-05-26,778.6839,48.66774375,53976.68183,16,-4735.0019999999995,75,Extreme Greed
2024-05-27,1129.35587,4.499425776892431,151115.724461,251,53.839999999967404,74,Greed
2024-05-29,277.791953,1.6938533719512194,84268.709095,164,201727.0602,72,Greed
2024-05-30,20.951433,2.9930618571428576,2838.085376,7,544.9398,73,Greed
2024-05-31,25.35812,1.9506246153846154,3636.149459,13,-7.275957614183426e-12,73,Greed
2024-06-01,91.510419,3.66041676,12834.623744,25,0.0,72,Greed
2024-06-02,192.906947,2.074268247311828,29464.546476,93,-5630.499999999998,73,Greed
2024-06-03,562.808208,8.040117257142859,21466.868433,70,5630.5,73,Greed
2024-06-04,52.211438,0.9851214716981133,24243.41788,53,2.2737367544323206e-13,73,Greed
2024-06-05,56.055506,1.038064925925926,25350.75432,54,-2.2737367544323206e-13,75,Extreme Greed
2024-06-06,274.173187,1.1716802863247862,137557.83376,234,0.0,78,Extreme Greed
2024-06-07,8902.467416,20.23288049090909,1098588.8932400001,440,2939.830900000001,77,Extreme Greed
2024-06-08,129.13883900000002,4.453063413793104,97351.86465,29,-2234.7394999999997,72,Greed
2024-06-09,0.0,0.0,22410.216839999997,17,479.66769999999997,75,Extreme Greed
2024-06-10,31.266804999999998,0.589939716981132,46587.90546,53,6.541899999999714,72,Greed
2024-06-11,4320.631811,35.12708789430894,373279.909833,123,8212.583899999998,74,Greed
2024-06-12,-21886.531493,-86.16744682283463,193407.9471,254,653.9999999999964,72,Greed
2024-06-13,6632.757115,83.95895082278481,132577.23353,79,9075.119299999998,70,Greed
2024-06-14,10258.592609,330.9223422258064,139868.6321,31,11996.079300000001,74,Greed
2024-06-15,3369.958346,43.20459417948718,718350.23447,78,-19069.248,74,Greed
2024-06-16,0.0,0.0,25235.095559999998,11,-6131.6,71,Greed
2024-06-17,10599.502375,278.9342730263158,368380.12568,38,25092.2461,71,Greed
2024-06-18,282.57636,11.3030544,263314.82219000004,25,1918.174,74,Greed
2024-06-19,4887.656944,80.12552367213115,417071.12466,61,1139.706500000002,64,Greed
2024-06-20,57478.456026,1473.8065647692308,207990.784464,39,-51788.798200000005,60,Greed
2024-06-21,773.5582039999999,9.66947755,176264.47105999998,80,-6308.900799999999,63,Greed
2024-06-22,756.876565,31.536523541666668,169594.28022,24,-285.8626,53,Neutral
2024-06-23,0.0,0.0,1792.12,5,-578.0,55,Greed
2024-06-24,0.0,0.0,403002.78763000004,31,-171.7973,51,Neutral
2024-06-25,4869.353105,99.3745531632653,103099.07311,49,1179.7999999999993,30,Fear
2024-06-26,4197.732182,58.30183586111111,365190.66183,72,213.42770000000002,46,Neutral
2024-06-27,0.0,0.0,130486.9624,30,-2884.1536,40,Fear
2024-06-29,6150.326145,82.0043486,280095.11999100004,75,875032.0915999999,30,Fear
2024-06-30,0.0,0.0,30520.698599999996,14,-147710.125,47,Neutral
