date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2024-12-10,39325.770231,24.640206911654136,3150423.8495111354,1596,-69444.27659330005,78,Extreme Greed,78.0,Extreme Greed,24.640206911654136,0.012482691888300156,1,0.0
2024-12-11,319051.554217,261.30348420720725,2194098.364461,1221,-42252.701830000005,74,Greed,78.0,Extreme Greed,261.30348420720725,0.14541351444623035,1,-4.0
2024-12-12,599151.795008,310.1199767122153,4557189.73703446,1932,-278704.59732000006,83,Extreme Greed,74.0,Greed,310.1199767122153,0.13147396303009568,1,9.0
2024-12-13,31935.901745,27.22583268968457,2880824.535528,1173,176572.05844000005,76,Extreme Greed,83.0,Extreme Greed,27.22583268968457,0.011085680974716761,1,-7.0
2024-12-14,167801.399244,135.8715783352227,2369561.7912950674,1235,54165.76307429999,83,Extreme Greed,76.0,Extreme Greed,135.87157833522267,0.07081537179593418,1,7.0
2024-12-15,97525.315279,57.4692488385386,2583269.80463575,1697,-673708.36146,80,Extreme Greed,83.0,Extreme Greed,57.4692488385386,0.037752663350915996,1,-3.0
2024-12-16,166774.344133,158.07994704549765,2740808.9615622945,1055,-12025.98630525,83,Extreme Greed,80.0,Extreme Greed,158.07994704549765,0.060848583929737514,1,3.0
2024-12-17,219591.305172,113.13307839876352,5233597.723958275,1941,-24487.482226070017,87,Extreme Greed,83.0,Extreme Greed,113.13307839876352,0.0419580022680686,1,4.0
2024-12-18,13682.994673,9.575223703988804,3798887.089400572,1429,-121717.17051106,81,Extreme Greed,87.0,Extreme Greed,9.575223703988803,0.003601842947945854,1,-6.0
2024-12-19,62744.004486000005,18.79125621024259,8241709.511445015,3339,121738.73831617089,75,Extreme Greed,81.0,Extreme Greed,18.79125621024259,0.007612984223584839,1,-6.0
2024-12-20,254969.660039,102.47976689670418,7681274.81126886,2488,45688.61840985005,74,Greed,75.0,Extreme Greed,102.47976689670418,0.033193664632978015,1,-1.0
2024-12-21,150022.163157,89.24578415050566,4382875.0773546,1681,-32603.13741,73,Greed,74.0,Greed,89.24578415050566,0.03422916704428406,1,-1.0
